title,overview,release_date,Year,Month,Day,vote_average,vote_count,popularity,production_companies,runtime,budget,revenue,profit,ROI,genres,Action,Adventure,Science Fiction,Drama,Thriller,Comedy,Animation,Fantasy,Horror,Romance,Mystery,Documentary,Music,Western,Crime
Jason Bourne,The most dangerous former operative of the CIA is drawn out of hiding to uncover hidden truths about his past.,2016-07-27,2016,7,27,6.3,5368,31.904,"['The Kennedy/Marshall Company', 'Captivate Entertainment', 'Pearl Street Films', 'Perfect World Pictures']",123,120,415,295,2.5,"['Action', 'Thriller', 'Mystery', 'Drama']",1,0,0,1,1,0,0,0,0,0,1,0,0,0,0
Kung Fu Panda 3,"Continuing his ""legendary adventures of awesomeness"", Po must face two hugely epic, but different threats: one supernatural and the other a little closer to his home.",2016-01-23,2016,1,23,6.879,5332,56.151,"['Pearl Studio', 'DreamWorks Animation', 'China Film Group Corporation']",95,145,521,376,2.6,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family']",1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
Collateral Beauty,"Retreating from life after a tragedy, a man questions the universe by writing to Love, Time and Death. Receiving unexpected answers, he begins to see how these things interlock and how even loss can reveal moments of meaning and beauty.",2016-12-15,2016,12,15,7.239,5126,21.378,"['Village Roadshow Pictures', 'Likely Story', 'Anonymous Content', 'New Line Cinema', 'PalmStar Media', 'Overbrook Entertainment']",97,36,88,52,1.5,"['Drama', 'Romance']",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
The Purge: Election Year,"Two years after choosing not to kill the man who killed his son, former police sergeant Leo Barnes has become head of security for Senator Charlene Roan, the front runner in the next Presidential election due to her vow to eliminate the Purge. On the night of what should be the final Purge, a betrayal from within the government forces Barnes and Roan out onto the street where they must fight to survive the night.",2016-06-29,2016,6,29,6.394,4924,46.414,"['Why Not Productions', 'Universal Pictures', 'Blumhouse Productions', 'Platinum Dunes', 'Dentsu Entertainment', 'Fuji Television Network']",105,10,118,108,10.9,"['Action', 'Horror', 'Thriller']",1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
The Shallows,"When Nancy is surfing on a secluded beach, she finds herself on the feeding ground of a great white shark. Though she is stranded only 200 yards from shore, survival proves to be the ultimate test of wills, requiring all of Nancy's ingenuity, resourcefulness, and fortitude.",2016-06-24,2016,6,24,6.35,4791,23.954,"['Columbia Pictures', 'Ombra Films', 'Weimaraner Republic Pictures']",86,17,119,102,6.0,"['Horror', 'Drama', 'Thriller']",0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
The Great Wall,European mercenaries searching for black powder become embroiled in the defense of the Great Wall of China against a horde of monstrous creatures.,2016-12-16,2016,12,16,6.004,4753,35.64,"['Legendary East', 'Universal Pictures', 'Atlas Entertainment', 'Le Vision Pictures', 'Kava Productions', 'China Film Group Corporation', 'dentsu', 'Fuji Television Network', 'Legendary Pictures']",103,150,331,181,1.2,"['Action', 'Adventure', 'Fantasy']",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
The Huntsman: Winter's War,"As two evil sisters prepare to conquer the land, two renegades—Eric the Huntsman, who aided Snow White in defeating Ravenna in Snowwhite and the Huntsman, and his forbidden lover, Sara—set out to stop them.",2016-04-06,2016,4,6,6.3,4577,28.518,"['Roth Films', 'Universal Pictures', 'Perfect World Pictures']",114,115,164,49,0.4,"['Action', 'Adventure', 'Drama']",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
War Dogs,"Based on the true story of two young men, David Packouz and Efraim Diveroli, who won a $300 million contract from the Pentagon to arm America's allies in Afghanistan.",2016-08-18,2016,8,18,6.9,4503,26.254,"['The Mark Gordon Company', 'Green Hat Films', 'Joint Effort', 'Warner Bros. Pictures']",114,40,86,46,1.2,"['Comedy', 'Crime', 'Drama']",0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
Jack Reacher: Never Go Back,"When Major Susan Turner is arrested for treason, ex-investigator Jack Reacher undertakes the challenging task to prove her innocence and ends up exposing a shocking conspiracy.",2016-10-19,2016,10,19,5.946,4494,45.782,"['Skydance', 'Huahua Media', 'Shanghai Film Group', 'TC Productions', 'Paramount']",118,60,162,102,1.7,"['Action', 'Thriller']",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The Founder,"The true story of how Ray Kroc, a salesman from Illinois, met Mac and Dick McDonald, who were running a burger operation in 1950s Southern California. Kroc was impressed by the brothers’ speedy system of making the food and saw franchise potential. He maneuvered himself into a position to be able to pull the company from the brothers and create a billion-dollar empire.",2016-09-13,2016,9,13,7.112,4479,24.748,"['Speedie Distribution', 'FilmNation Entertainment', 'Faliro House Productions', 'The Combine', 'The Weinstein Company']",115,15,24,9,0.6,"['Drama', 'History']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
